wavelength in nm	Intensity in au
628.656067	2234.5617021276594
630.008057	2376.9957627118642
631.3599	2372.3991416309013
632.7118	2228.777777777778
634.06366	2037.7327586206898
635.415466	1945.4285714285713
636.7672	2052.8826086956524
638.119	2298.192139737991
639.4707	2532.8026315789475
640.8223	2655.4140969162995
642.17395	2598.7644444444445
643.5255	2472.3303571428573
644.877	2435.9282511210763
646.2286	2612.3529411764707
647.579956	3037.755656108597
648.9314	3543.572727272727
650.282837	3949.1963470319633
651.634155	4148.1336405529955
652.9855	4150.539534883721
654.336731	4084.125581395349
655.688	4124.4953271028035
657.0391	4399.568720379147
658.390259	4879.952606635071
659.741333	5360.588516746411
661.0924	5677.4567307692305
662.4435	5667.323529411765
663.794434	5383.879562043796
665.1454	4963.036764705882
666.4962	4741.8007380073805
667.8471	4943.617647058823
669.1979	5593.860294117647
670.548645	6497.8007380073805
671.8994	7352.966911764706
673.250061	7834.232472324723
674.600769	7905.121323529412
675.951355	7636.2140221402215
677.3019	7393.715867158671
678.6524	7526.084870848708
680.002869	8241.196296296297
681.3533	9464.678966789668
682.7037	10865.177121771218
684.054	11971.985130111525
685.4043	12511.656826568265
686.7546	12291.742647058823
688.1048	11543.073800738008
689.454956	10802.630996309963
690.805054	10607.9889298893
692.1551	11231.69741697417
693.5051	12677.23161764706
694.8551	14378.514705882353
696.2051	15748.745387453875
697.554932	16381.547794117647
698.9048	16160.01838235294
700.2546	15209.12087912088
701.6044	13910.33455882353
702.954041	12971.763837638377
704.3037	12951.881918819188
705.6533	14025.31111111111
707.0029	15855.732342007435
708.3524	17810.411985018727
709.7019	19385.875939849626
711.051331	20083.743396226415
712.4007	19820.403041825095
713.75	18892.08396946565
715.0993	17748.505747126437
716.448547	17025.68076923077
717.797668	17172.43023255814
719.146851	18304.252918287937
720.4959	20107.78125
721.845	22019.09411764706
723.194	23456.42125984252
724.5429	24023.678571428572
725.8918	23816.06349206349
727.2407	22842.956
728.5895	21629.78313253012
729.9381	20630.576612903227
731.2869	20239.732793522267
732.6355	20668.18699186992
733.984131	21790.808163265305
735.332642	23229.360655737706
736.681152	24557.85123966942
738.0296	25477.31950207469
739.3779	25817.4
740.7263	25621.435146443513
742.0746	25071.432773109245
743.4228	24527.666666666668
744.771057	24246.455319148936
746.119141	24396.594017094016
747.467163	25193.03005464481
748.8153	25990.282967032967
750.1632	26869.024861878454
751.5111	27705.997245179064
752.8591	28205.138121546963
754.2069	28459.629120879123
755.5546	28400.462809917357
756.902344	28053.641666666666
758.249939	27703.57222222222
759.5976	27259.132394366196
760.9452	27106.728291316525
762.292664	26837.745762711864
763.6401	26517.653409090908
764.9875	26250.101123595505
766.3348	25422.485632183907
767.682068	24684.765042979943
769.0293	23884.49142857143
770.376465	23052.511494252874
771.7236	22484.272206303725
773.0707	22198.117142857143
774.417664	22115.64841498559
775.7646	22237.523255813954
777.1115	22592.882183908045
778.4583	22692.51156069364
779.805054	22607.79827089337
781.151855	22101.623188405796
782.498535	21279.488304093567
783.8451	20286.707602339182
785.19165	19249.54810495627
786.5382	18377.394736842107
787.8846	17821.825958702066
789.231	17822.970588235294
790.5773	18322.717647058824
791.9235	19173.72997032641
793.269836	20338.25588235294
794.615967	21307.831360946744
795.962036	22058.737463126843
797.308044	22258.05637982196
798.654	21969.298507462685
799.999939	21291.328358208953
801.3458	20098.084592145016
802.6916	18828.409090909092
804.037354	17594.58006042296
805.383057	16436.923547400613
806.728638	15727.844036697248
808.074158	15387.83024691358
809.419739	15435.814241486069
810.765137	15740.409937888198
812.110535	16109.434375
813.4558	16410.210031347964
814.8011	16502.748427672956
816.14624	16270.197452229299
817.491455	15845.260317460317
818.8365	15076.330128205129
820.181458	14217.044871794871
821.5265	13259.253246753247
822.871338	12476.566343042072
824.2161	11863.834415584415
825.561	11526.531147540984
826.90564	11518.272131147542
828.250244	11764.630363036304
829.594849	12172.84
830.9394	12747.738410596026
832.2838	13179.41
833.6282	13551.883333333333
834.972534	13664.575757575758
836.3167	13630.47972972973
837.661	13393.28813559322
839.0051	13005.959044368601
840.3491	12573.627986348123
841.6932	12079.178694158076
843.0371	11663.024137931034
844.381	11320.15570934256
845.724854	11038.185314685315
847.068542	10893.915789473684
848.4122	10841.742957746479
849.755859	10897.426056338029
851.099365	10893.64184397163
852.4429	10920.519572953737
853.7863	10957.875444839858
855.129639	10857.72202166065
856.4729	10735.771739130434
857.816162	10705.185714285713
859.1593	10346.69387755102
860.5023	10195.765682656827
861.8454	9880.749525616699
863.188354	9819.243093922652
864.53125	9578.951401869159
865.8741	9368.712945590994
867.2168	9136.23908918406
868.559448	8910.336520076482
869.9021	8712.735741444867
871.2446	8504.440677966102
872.5871	8250.97358490566
873.929565	7881.477495107632
875.271851	7604.402750491159
876.614136	7440.046421663443
877.95636	7178.420948616601
879.2985	7029.248015873016
880.6405	7013.084942084942
881.982544	6843.596
883.324463	6829.304174950298
884.6663	6771.550403225807
886.0081	6782.351190476191
887.3498	6701.798387096775
888.691467	6646.785288270377
890.0331	6411.106776180698
891.3746	6259.252525252526
892.715942	6047.042338709677
894.0574	5797.108216432865
895.3986	5477.875510204081
896.7398	5248.208416833667
898.081055	4976.678861788618
899.422058	4783.354969574037
900.763062	4591.037267080746
902.104	4545.521298174443
903.4449	4480.070103092784
904.785645	4504.087755102041
906.126343	4453.41313559322
907.467	4526.446985446985
908.807556	4507.068403908795
910.1481	4455.523026315789
911.488464	4412.106471816284
912.8288	4289.461052631579
914.1691	4154.6625
915.509338	3975.205338809035
916.8494	3667.908315565032
918.189453	3447.0567226890757
919.5294	3217.9670103092785
920.8694	2978.860416666667
922.209167	2765.1231422505307
923.54895	2623.2921108742003
924.8886	2502.9223946784923
926.2282	2506.3319057815847
927.5677	2489.313596491228
928.907166	2540.021739130435
930.2466	2609.897435897436
931.5859	2654.362473347548
932.925049	2645.7439293598236
934.2642	2679.168466522678
935.603333	2635.3237885462554
936.942261	2565.2735426008967
938.28125	2510.9583333333335
939.620056	2398.9866962305987
940.9588	2261.181614349776
942.297546	2121.7573033707863
943.6361	1979.8823529411766
944.9747	1861.7246049661399
946.3132	1740.339491916859
947.6515	1670.5011494252874
948.989746	1603.6812933025403
950.328	1568.4675925925926
951.6661	1557.1931818181818
953.00415	1547.9066059225513
954.3422	1527.5035460992908
955.680054	1547.913145539906
957.0179	1549.5178997613366
958.355652	1534.893300248139
959.6933	1518.549019607843
961.0308	1486.1760391198045
962.3684	1406.1990049751244
963.70575	1355.643203883495
965.043152	1271.2034739454095
966.380432	1204.639705882353
967.7176	1122.81592039801
969.0547	1022.042216358839
970.3917	977.8005050505051
971.728638	919.8513853904282
